table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1443,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['264', '&nbsp;']","['304', '&nbsp;']","['239', '&nbsp;']","['208', '&nbsp;']","['D', '&nbsp;']","['244', '&nbsp;']","['336', 'i']","['251', '  ']","['288', '&nbsp;']"
1443,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,130', '&nbsp;']","['1,144', '&nbsp;']","['1,231', '&nbsp;']","['1,156', '&nbsp;']","['1,362', '&nbsp;']","['1,588', '&nbsp;']","['1,614', '&nbsp;']","['D', '  ']","['1,544', '&nbsp;']"
1443,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['297', '&nbsp;']","['241', '&nbsp;']","['244', '&nbsp;']","['265', '&nbsp;']","['356', 'i']","['391', '&nbsp;']","['390', '&nbsp;']","['321', '  ']","['340', '&nbsp;']"
1443,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['708', '&nbsp;']","['591', '&nbsp;']","['807', '&nbsp;']","['558', '&nbsp;']","['617', '&nbsp;']","['526', '  ']","['625', '&nbsp;']"
1443,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['35', '&nbsp;']","['39', '&nbsp;']","['45', '&nbsp;']","['123', '&nbsp;']","['78', '&nbsp;']","['75', '  ']","['93', '&nbsp;']"
1443,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['403', '&nbsp;']","['415', '&nbsp;']","['382', '&nbsp;']","['488', '&nbsp;']","['460', 'i']","['416', '  ']","['452', '&nbsp;']"
1443,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,806', '&nbsp;']","['2,978', '&nbsp;']","['3,133', '&nbsp;']","['3,614', '&nbsp;']","['4,271', '&nbsp;']","['4,136', '&nbsp;']","['4,036', '&nbsp;']","['3,505', '  ']","['3,472', '&nbsp;']"
1443,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,152', '&nbsp;']","['1,459', '&nbsp;']","['1,444', '&nbsp;']","['1,228', '&nbsp;']","['1,437', '&nbsp;']","['1,383', '&nbsp;']","['1,771', '&nbsp;']","['1,703', '  ']","['1,402', '&nbsp;']"
1443,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['2,100', '&nbsp;']","['1,990', '&nbsp;']","['1,722', '&nbsp;']","['2,333', '&nbsp;']","['2,307', '&nbsp;']","['2,364', 'i']","['2,508', 'i']","['D', '  ']","['2,336', 'i']"
1443,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['70,016', '&nbsp;']","['68,588', '&nbsp;']","['71,603', '&nbsp;']","['67,688', '&nbsp;']","['69,473', '&nbsp;']","['68,318', '&nbsp;']","['68,846', '&nbsp;']","['63,606', '  ']","['70,246', '&nbsp;']"
1443,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['1,988', '&nbsp;']","['1,159', '&nbsp;']","['1,207', '&nbsp;']","['1,544', '&nbsp;']","['1,371', 'i']","['1,066', '&nbsp;']","['1,159', '&nbsp;']","['972', '  ']","['1,340', '&nbsp;']"
1443,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing<sup>c</sup>,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing<sup>c</sup>,2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,356', '&nbsp;']","['14,947', '&nbsp;']","['23,172', '  ']","['24,603', '&nbsp;']"
1443,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['2,787', '&nbsp;']","['2,883', '&nbsp;']","['3,147', '&nbsp;']","['3,472', '&nbsp;']","['3,266', '&nbsp;']","['3,406', '&nbsp;']","['3,493', '&nbsp;']","['3,353', '  ']","['3,361', '&nbsp;']"
1443,r024,"All business activities -> Paints, adhesives, and other chemicals manufacturing",All business activities,"Paints, adhesives, and other chemicals manufacturing",2,32592,"['2,152', '&nbsp;']","['2,320', '&nbsp;']","['2,238', '&nbsp;']","['2,011', '&nbsp;']","['2,087', '&nbsp;']","['1,979', '&nbsp;']","['2,131', '&nbsp;']","['D', '  ']","['2,121', '&nbsp;']"
1443,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['2,536', '&nbsp;']","['2,842', '&nbsp;']","['3,128', '&nbsp;']","['3,689', '&nbsp;']","['3,739', '&nbsp;']","['3,586', '&nbsp;']","['3,592', '&nbsp;']","['3,251', '  ']","['3,935', '&nbsp;']"
1443,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['966', 'i']","['312', '&nbsp;']","['1,056', 'i']","['920', 'i']","['1,154', 'i']","['1,077', '&nbsp;']","['1,130', '&nbsp;']","['1,145', '  ']","['1,203', '&nbsp;']"
1443,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['738', '&nbsp;']","['555', '&nbsp;']","['522', '&nbsp;']","['590', '&nbsp;']","['621', '&nbsp;']","['618', 'i']","['800', '&nbsp;']","['601', '  ']","['664', '&nbsp;']"
1443,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['840', '&nbsp;']","['933', '&nbsp;']","['783', '&nbsp;']","['882', '&nbsp;']","['792', '&nbsp;']","['853', '&nbsp;']","['719', '  ']","['720', '&nbsp;']"
1443,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,935', '&nbsp;']","['2,438', '&nbsp;']","['1,971', '&nbsp;']","['2,471', '&nbsp;']","['2,517', '&nbsp;']","['2,460', '&nbsp;']","['2,560', '&nbsp;']","['2,521', '  ']","['2,613', '&nbsp;']"
1443,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,404', '&nbsp;']","['1,507', '&nbsp;']","['1,523', '&nbsp;']","['1,430', '&nbsp;']","['1,893', '&nbsp;']","['2,055', '&nbsp;']","['1,990', '&nbsp;']","['1,916', '  ']","['1,977', '&nbsp;']"
1443,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['581', '&nbsp;']","['653', '&nbsp;']","['682', '&nbsp;']","['875', '&nbsp;']","['816', '&nbsp;']","['1,693', '&nbsp;']","['1,729', '&nbsp;']","['1,556', '  ']","['1,464', '&nbsp;']"
1443,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['1,629', '&nbsp;']","['1,765', '&nbsp;']","['2,204', '&nbsp;']","['2,589', '&nbsp;']","['1,942', 'i']","['1,462', '&nbsp;']","['2,115', '  ']","['1,529', '&nbsp;']"
1443,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['2,553', '&nbsp;']","['1,978', '&nbsp;']","['2,279', '&nbsp;']","['2,574', '&nbsp;']","['1,266', 'i']","['3,500', '&nbsp;']","['3,363', '&nbsp;']","['3,459', '  ']","['3,688', '&nbsp;']"
1443,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,191', '&nbsp;']","['853', '&nbsp;']","['806', '&nbsp;']","['1,128', '&nbsp;']","['1,031', '&nbsp;']","['1,006', '&nbsp;']","['1,237', '&nbsp;']","['1,181', '  ']","['894', '&nbsp;']"
1443,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['852', '&nbsp;']","['270', '&nbsp;']","['757', '&nbsp;']","['25', 'i']","['108', '&nbsp;']","['25', '&nbsp;']","['114', '  ']","['59', '&nbsp;']"
1443,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['977', '&nbsp;']","['1,268', '&nbsp;']","['1,143', '&nbsp;']","['1,621', '&nbsp;']","['1,661', '&nbsp;']","['2,251', '&nbsp;']","['1,947', '  ']","['2,232', '&nbsp;']"
1443,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['33', '&nbsp;']","['587', 'i ']","['519', '&nbsp;']"
1443,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,386', '&nbsp;']","['1,589', '&nbsp;']","['3,481', '&nbsp;']","['3,623', '&nbsp;']","['4,068', '&nbsp;']","['3,870', '&nbsp;']","['3,346', '&nbsp;']","['2,626', '  ']","['2,637', '&nbsp;']"
1443,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,039', '&nbsp;']","['1,618', '&nbsp;']","['1,998', '&nbsp;']","['2,359', '&nbsp;']","['1,916', '&nbsp;']","['2,052', '&nbsp;']","['2,585', '&nbsp;']","['2,728', '  ']","['2,574', '&nbsp;']"
1443,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '&nbsp;']","['13,094', '&nbsp;']","['12,672', '&nbsp;']","['13,319', '&nbsp;']","['14,716', '&nbsp;']","['15,113', '&nbsp;']","['13,437', '&nbsp;']","['16,547', '  ']","['23,133', '&nbsp;']"
1443,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['6,739', '&nbsp;']","['7,758', '&nbsp;']","['9,010', '&nbsp;']","['9,530', '&nbsp;']","['9,335', '&nbsp;']","['9,622', '&nbsp;']","['10,526', '&nbsp;']","['12,366', '  ']","['10,717', '&nbsp;']"
1443,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['5,958', '&nbsp;']","['5,181', '&nbsp;']","['5,719', '&nbsp;']","['4,383', '&nbsp;']","['4,773', '&nbsp;']","['5,967', '&nbsp;']","['5,848', 'i']","['3,542', '  ']","['2,786', '&nbsp;']"
1443,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['2,482', '&nbsp;']","['1,352', '&nbsp;']","['715', '&nbsp;']","['1,092', '&nbsp;']","['2,111', '&nbsp;']","['1,826', '&nbsp;']","['1,782', '&nbsp;']","['1,844', 'i ']","['1,660', '&nbsp;']"
1443,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['773', '&nbsp;']","['977', '&nbsp;']","['1,352', '&nbsp;']","['1,019', '&nbsp;']","['1,081', '&nbsp;']","['1,108', '&nbsp;']","['1,282', '&nbsp;']","['1,587', '  ']","['1,535', '&nbsp;']"
1443,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['29,911', '&nbsp;']","['26,118', '&nbsp;']","['29,457', '&nbsp;']","['32,354', '&nbsp;']","['38,109', '&nbsp;']","['40,001', '&nbsp;']","['41,125', '&nbsp;']","['39,810', '  ']","['40,595', '&nbsp;']"
1443,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['3,822', '&nbsp;']","['2,544', '&nbsp;']","['3,046', '&nbsp;']","['3,230', '&nbsp;']","['3,494', '&nbsp;']","['3,816', '&nbsp;']","['4,330', '&nbsp;']","['3,875', '  ']","['4,125', '&nbsp;']"
1443,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",2,33452,"['1,845', '&nbsp;']","['2,229', '&nbsp;']","['2,417', '&nbsp;']","['2,161', '&nbsp;']","['2,337', '&nbsp;']","['2,564', '&nbsp;']","['2,424', '&nbsp;']","['2,033', '  ']","['2,615', '&nbsp;']"
1443,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['3,458', '&nbsp;']","['4,425', '&nbsp;']","['4,579', '&nbsp;']","['4,566', '&nbsp;']","['4,871', '&nbsp;']","['5,308', '&nbsp;']","['5,424', '&nbsp;']","['5,637', '  ']","['5,663', '&nbsp;']"
1443,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['4,687', '&nbsp;']","['4,229', '&nbsp;']","['4,500', '&nbsp;']","['4,768', '&nbsp;']","['4,773', '&nbsp;']","['5,272', '&nbsp;']","['5,501', '&nbsp;']","['5,313', '  ']","['5,920', '&nbsp;']"
1443,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['18,296', '&nbsp;']","['13,165', '&nbsp;']","['14,524', '&nbsp;']","['17,011', '&nbsp;']","['18,362', '&nbsp;']","['17,743', '&nbsp;']","['18,984', '&nbsp;']","['18,357', '  ']","['20,365', '&nbsp;']"
1443,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['70', '&nbsp;']","['96', '&nbsp;']","['190', '&nbsp;']","['73', '&nbsp;']","['98', 'i']","['107', 'i']","['104', '&nbsp;']","['160', '  ']","['119', '&nbsp;']"
1443,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['5,401', '&nbsp;']","['4,158', '&nbsp;']","['4,310', '&nbsp;']","['4,681', '&nbsp;']","['4,736', '&nbsp;']","['5,600', '&nbsp;']","['7,146', '&nbsp;']","['7,285', '  ']","['7,394', '&nbsp;']"
1443,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['4,053', '&nbsp;']","['7,390', '&nbsp;']","['4,430', '&nbsp;']","['4,512', '&nbsp;']","['4,716', 'i']","['4,373', '&nbsp;']","['4,221', '&nbsp;']","['4,859', '  ']","['5,639', '&nbsp;']"
1443,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['2,433', '&nbsp;']","['1,765', '&nbsp;']","['1,978', '&nbsp;']","['2,136', '&nbsp;']","['D', '&nbsp;']","['1,787', '&nbsp;']","['2,068', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
1443,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['1,222', '&nbsp;']","['1,135', '&nbsp;']","['1,825', '&nbsp;']","['1,752', '&nbsp;']","['3,121', '&nbsp;']","['3,270', '&nbsp;']","['2,980', '&nbsp;']","['3,482', '  ']","['3,048', '&nbsp;']"
1443,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['1,402', '&nbsp;']","['1,176', '&nbsp;']","['1,132', '&nbsp;']","['1,050', '&nbsp;']","['659', '&nbsp;']","['487', '&nbsp;']","['877', '&nbsp;']","['1,034', '  ']","['954', '&nbsp;']"
1443,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['195', '&nbsp;']","['83', '&nbsp;']","['177', '&nbsp;']","['165', '&nbsp;']","['237', '&nbsp;']","['224', '&nbsp;']","['363', '&nbsp;']","['310', '  ']","['224', '&nbsp;']"
1443,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['151', '&nbsp;']","['616', 'i']","['608', 'i']","['154', '&nbsp;']","['143', 'i']","['192', '&nbsp;']","['489', '&nbsp;']","['251', '  ']","['618', '&nbsp;']"
1443,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['199', '&nbsp;']","['194', '&nbsp;']","['186', '&nbsp;']","['234', '&nbsp;']","['197', '&nbsp;']","['231', '&nbsp;']","['283', '&nbsp;']","['320', '  ']","['335', '&nbsp;']"
1443,r060,"All business activities -> Military armored vehicles, tanks, and tank components manufacturing",All business activities,"Military armored vehicles, tanks, and tank components manufacturing",2,33692,"['107', '&nbsp;']","['228', '&nbsp;']","['182', '&nbsp;']","['118', '&nbsp;']","['135', '&nbsp;']","['90', '&nbsp;']","['159', '&nbsp;']","['202', '  ']","['130', '&nbsp;']"
1443,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['176', '&nbsp;']","['135', '&nbsp;']","['232', '&nbsp;']","['367', '&nbsp;']","['437', '&nbsp;']","['425', '&nbsp;']","['361', '&nbsp;']","['430', '  ']","['478', '&nbsp;']"
1443,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['511', '&nbsp;']","['495', '&nbsp;']","['402', '&nbsp;']","['344', '&nbsp;']","['431', '&nbsp;']","['433', '&nbsp;']","['455', '&nbsp;']","['509', '  ']","['490', '&nbsp;']"
1443,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['11,587', '&nbsp;']","['11,457', '&nbsp;']","['13,226', '&nbsp;']","['13,701', '&nbsp;']","['14,259', '&nbsp;']","['15,264', '&nbsp;']","['14,317', '&nbsp;']","['15,145', '  ']","['15,602', '&nbsp;']"
1443,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['2,976', '&nbsp;']","['2,793', '&nbsp;']","['2,341', '&nbsp;']","['2,698', '&nbsp;']","['D', '&nbsp;']","['2,976', '&nbsp;']","['2,816', '&nbsp;']","['D', '  ']","['3,124', '&nbsp;']"
1443,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['449', '&nbsp;']","['923', 'i']","['714', '&nbsp;']","['711', '&nbsp;']","['1,277', 'i']","['589', '&nbsp;']","['516', '&nbsp;']","['1,551', '  ']","['647', '&nbsp;']"
1443,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['257', '&nbsp;']","['365', 'i']","['348', '&nbsp;']","['605', '&nbsp;']","['699', 'i']","['327', '&nbsp;']","['209', '&nbsp;']","['484', '  ']","['219', '&nbsp;']"
1443,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['14', '&nbsp;']","['43', 'i']","['19', 'i']","['70', '&nbsp;']","['173', 'i']","['18', '&nbsp;']","['D', '&nbsp;']","['35', '  ']","['24', '&nbsp;']"
1443,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['NA', '&nbsp;']","['50', '&nbsp;']","['164', '&nbsp;']","['74', '&nbsp;']","['100', 'i']","['120', '&nbsp;']","['65', '&nbsp;']","['D', '  ']","['121', '&nbsp;']"
1443,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['NA', '&nbsp;']","['NA', '&nbsp;']","['753', '&nbsp;']","['D', '&nbsp;']","['1,749', '&nbsp;']","['1,284', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['D', '&nbsp;']"
1443,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['NA', '&nbsp;']","['319', '&nbsp;']","['211', '&nbsp;']","['111', '&nbsp;']","['199', '&nbsp;']","['377', '&nbsp;']","['412', '&nbsp;']","['229', 'i ']","['123', '&nbsp;']"
1443,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['D', '&nbsp;']","['14', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['90', '&nbsp;']","['348', '&nbsp;']","['D', '  ']","['394', '&nbsp;']"
1443,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['26', '&nbsp;']","['17', '&nbsp;']","['19', '&nbsp;']","['16', '&nbsp;']","['17', '&nbsp;']","['4', '&nbsp;']","['3', '&nbsp;']","['D', '  ']","['0', '&nbsp;']"
1443,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['180', '&nbsp;']","['748', '&nbsp;']","['853', '&nbsp;']","['408', 'i']","['257', 'i']","['339', 'i']","['103', '&nbsp;']","['117', '  ']","['87', '&nbsp;']"
1443,r074,All business activities -> Software publishers (except Internet)<sup>e</sup>,All business activities,Software publishers (except Internet)<sup>e</sup>,2,51120,"['31,369', '&nbsp;']","['26,362', '&nbsp;']","['28,457', '&nbsp;']","['29,992', '&nbsp;']","['31,209', '&nbsp;']","['35,047', '&nbsp;']","['41,052', '&nbsp;']","['36,040', '  ']","['34,806', '&nbsp;']"
1443,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['104', '&nbsp;']","['135', '&nbsp;']","['93', '&nbsp;']","['67', '&nbsp;']","['67', '&nbsp;']","['38', '&nbsp;']","['83', 'i']","['12', '  ']","['20', '&nbsp;']"
1443,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['NA', '&nbsp;']","['89', '&nbsp;']","['100', '&nbsp;']","['115', '&nbsp;']","['165', 'i']","['179', '&nbsp;']","['206', '&nbsp;']","['306', '  ']","['347', '&nbsp;']"
1443,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['673', '&nbsp;']","['D', '&nbsp;']","['1,499', 'i']","['1,685', '&nbsp;']","['1,631', 'i']","['1,012', 'i']","['1,166', '&nbsp;']","['1,269', 'i ']","['1,180', '&nbsp;']"
1443,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['532', 'i']","['186', '&nbsp;']","['724', 'i']","['815', 'i']","['860', 'i']","['1,732', 'i']","['2,500', '&nbsp;']","['1,192', 'i ']","['1,458', 'i']"
1443,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['153', '&nbsp;']","['108', '&nbsp;']","['229', '&nbsp;']","['114', '&nbsp;']","['163', '&nbsp;']","['176', '&nbsp;']","['134', '&nbsp;']","['705', 'i ']","['746', '&nbsp;']"
