table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015
786,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,810', '&nbsp;']","['D', '&nbsp;']","['2,705', '&nbsp;']","['2,620', '&nbsp;']","['2,849', '&nbsp;']","['3,042', '&nbsp;']"
786,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['NA', '&nbsp;']","['NA', '&nbsp;']","['783', '&nbsp;']","['798', '&nbsp;']","['997', '&nbsp;']","['1,197', '&nbsp;']","['1,154', '&nbsp;']","['1,201', '&nbsp;']"
786,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,691', 'i']","['1,743', 'i']","['D', '&nbsp;']"
786,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['48,131', '&nbsp;']","['46,415', '&nbsp;']","['49,469', '&nbsp;']","['46,308', '&nbsp;']","['47,851', '&nbsp;']","['52,790', '&nbsp;']","['56,482', '&nbsp;']","['58,675', '&nbsp;']"
786,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,400', '&nbsp;']","['2,476', '&nbsp;']","['2,342', '&nbsp;']","['2,434', '&nbsp;']","['2,548', '&nbsp;']","['1,398', '&nbsp;']"
786,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,290', '&nbsp;']","['D', '&nbsp;']","['1,354', '&nbsp;']","['1,357', 'i']","['D', '&nbsp;']"
786,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,817', '&nbsp;']","['2,388', '&nbsp;']","['2,129', '&nbsp;']","['2,278', '&nbsp;']","['3,585', '&nbsp;']","['3,647', '&nbsp;']","['3,614', '&nbsp;']","['2,541', '&nbsp;']"
786,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,556', '&nbsp;']","['1,098', 'i']","['1,314', 'i']","['1,175', '&nbsp;']","['1,327', 'i']","['1,329', 'i']","['1,445', 'i']","['1,259', '&nbsp;']"
786,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['695', '&nbsp;']","['863', '&nbsp;']","['681', '&nbsp;']","['655', '&nbsp;']","['741', '&nbsp;']","['618', '&nbsp;']","['677', '&nbsp;']","['628', '&nbsp;']"
786,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,419', '&nbsp;']","['2,057', '&nbsp;']","['1,727', '&nbsp;']","['1,857', '&nbsp;']","['1,827', 'i']","['2,194', 'i']","['2,107', 'i']","['2,261', 'i']"
786,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['10,104', '&nbsp;']","['9,226', '&nbsp;']","['10,260', '&nbsp;']","['14,725', '&nbsp;']","['13,752', '&nbsp;']","['12,586', '&nbsp;']","['12,106', '&nbsp;']","['13,426', '&nbsp;']"
786,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,345', '&nbsp;']","['1,277', '&nbsp;']","['1,546', '&nbsp;']","['1,597', '&nbsp;']","['1,578', '&nbsp;']","['1,531', '&nbsp;']"
786,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,173', '&nbsp;']","['2,351', '&nbsp;']","['1,291', '&nbsp;']","['3,194', '&nbsp;']","['2,941', '&nbsp;']","['3,214', '&nbsp;']"
786,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,430', '&nbsp;']","['4,273', '&nbsp;']","['4,336', '&nbsp;']","['1,448', '&nbsp;']","['2,356', '&nbsp;']","['2,535', '&nbsp;']"
786,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['5,312', '&nbsp;']","['6,824', '&nbsp;']","['6,579', '&nbsp;']","['6,347', '&nbsp;']","['5,229', '&nbsp;']","['6,146', '&nbsp;']"
786,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['60,464', '&nbsp;']","['55,856', '&nbsp;']","['61,623', '&nbsp;']","['62,438', '&nbsp;']","['66,290', '&nbsp;']","['68,629', '&nbsp;']","['73,256', '&nbsp;']","['72,110', '&nbsp;']"
786,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['NA', '&nbsp;']","['NA', '&nbsp;']","['13,875', '&nbsp;']","['12,335', '&nbsp;']","['14,352', '&nbsp;']","['15,663', '&nbsp;']","['18,345', '&nbsp;']","['19,424', '&nbsp;']"
786,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['22,324', '&nbsp;']","['20,023', '&nbsp;']","['23,011', '&nbsp;']","['24,237', '&nbsp;']","['28,218', '&nbsp;']","['30,176', '&nbsp;']","['31,668', '&nbsp;']","['30,451', '&nbsp;']"
786,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['15,460', '&nbsp;']","['14,318', '&nbsp;']","['15,747', '&nbsp;']","['15,852', '&nbsp;']","['15,918', '&nbsp;']","['15,119', '&nbsp;']","['15,871', '&nbsp;']","['14,128', '&nbsp;']"
786,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,189', '&nbsp;']","['4,430', '&nbsp;']","['4,413', '&nbsp;']","['2,634', '&nbsp;']","['3,975', '&nbsp;']","['2,758', '&nbsp;']"
786,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['NA', '&nbsp;']","['NA', '&nbsp;']","['8,293', '&nbsp;']","['8,066', '&nbsp;']","['7,734', '&nbsp;']","['8,106', '&nbsp;']","['7,861', '&nbsp;']","['7,360', '&nbsp;']"
786,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,265', '&nbsp;']","['3,356', '&nbsp;']","['3,772', '&nbsp;']","['4,379', '&nbsp;']","['4,035', '&nbsp;']","['4,011', '&nbsp;']"
786,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['NA', '&nbsp;']","['NA', '&nbsp;']","['8,990', '&nbsp;']","['10,014', '&nbsp;']","['7,801', '&nbsp;']","['7,671', '&nbsp;']","['7,372', '&nbsp;']","['8,106', '&nbsp;']"
786,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,143', '&nbsp;']","['3,317', '&nbsp;']","['3,320', '&nbsp;']","['3,624', '&nbsp;']","['3,078', '&nbsp;']","['4,133', '&nbsp;']","['4,323', '&nbsp;']","['4,335', '&nbsp;']"
786,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['50,552', '&nbsp;']","['48,209', '&nbsp;']","['42,940', '&nbsp;']","['41,094', '&nbsp;']","['42,340', '&nbsp;']","['43,648', '&nbsp;']","['46,977', '&nbsp;']","['49,274', '&nbsp;']"
786,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['16,733', '&nbsp;']","['18,518', '&nbsp;']","['19,078', '&nbsp;']"
786,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['36,941', '&nbsp;']","['34,563', '&nbsp;']","['29,857', '&nbsp;']","['26,086', 'i']","['24,874', 'i']","['24,783', '&nbsp;']","['26,292', 'i']","['27,464', '&nbsp;']"
786,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['NA', '&nbsp;']","['NA', '&nbsp;']","['24,777', 'i']","['24,839', 'i']","['23,454', 'i']","['D', '&nbsp;']","['25,002', 'i']","['25,817', '&nbsp;']"
786,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,080', '&nbsp;']","['1,247', '&nbsp;']","['1,420', '&nbsp;']","['D', '&nbsp;']","['1,290', 'i']","['1,647', 'i']"
786,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['51', '&nbsp;']","['D', '&nbsp;']","['9', 'i']","['18', '&nbsp;']","['16', '&nbsp;']"
786,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,124', '&nbsp;']","['2,148', 'i']","['2,716', '&nbsp;']"
786,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['477', '&nbsp;']","['395', '&nbsp;']","['374', '&nbsp;']","['319', '&nbsp;']","['360', '&nbsp;']","['374', '&nbsp;']","['377', '&nbsp;']","['452', '&nbsp;']"
786,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['15,292', '&nbsp;']","['12,757', '&nbsp;']","['13,690', '&nbsp;']"
786,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['NA', '&nbsp;']","['NA', '&nbsp;']","['6,459', '&nbsp;']","['7,796', '&nbsp;']","['8,333', '&nbsp;']","['12,741', '&nbsp;']","['10,309', '&nbsp;']","['11,382', '&nbsp;']"
786,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,551', '&nbsp;']","['2,449', '&nbsp;']","['2,309', 'i']"
786,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['86,926', '&nbsp;']","['86,064', '&nbsp;']","['80,142', '&nbsp;']","['87,877', '&nbsp;']","['94,183', '&nbsp;']","['100,389', '&nbsp;']","['108,834', '&nbsp;']","['119,690', '&nbsp;']"
786,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,545', '&nbsp;']","['2,365', '&nbsp;']","['3,031', '&nbsp;']","['4,000', '&nbsp;']","['4,633', '&nbsp;']","['4,012', '&nbsp;']"
786,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['NA', '&nbsp;']","['NA', '&nbsp;']","['425', '&nbsp;']","['358', '&nbsp;']","['348', '&nbsp;']","['294', '&nbsp;']","['313', '&nbsp;']","['480', '&nbsp;']"
786,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,092', '&nbsp;']","['1,556', 'i']","['2,053', 'i']","['452', 'i']","['339', 'i']","['1,768', 'i']"
786,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['949', 'i']","['1,353', '&nbsp;']","['1,356', 'i']","['1,388', '&nbsp;']","['1,533', 'i']"
786,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['NA', '&nbsp;']","['NA', '&nbsp;']","['95', '&nbsp;']","['132', '&nbsp;']","['178', '&nbsp;']","['D', '&nbsp;']","['679', '&nbsp;']","['403', '&nbsp;']"
786,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['37,695', '&nbsp;']","['35,953', '&nbsp;']","['37,088', '&nbsp;']","['42,697', '&nbsp;']","['46,900', '&nbsp;']","['56,608', '&nbsp;']","['64,277', '&nbsp;']","['65,513', '&nbsp;']"
786,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['28,427', '&nbsp;']","['26,838', '&nbsp;']","['26,957', '&nbsp;']","['28,411', '&nbsp;']","['29,067', '&nbsp;']","['34,365', '&nbsp;']","['36,621', '&nbsp;']","['33,346', '&nbsp;']"
786,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['NA', '&nbsp;']","['NA', '&nbsp;']","['770', '&nbsp;']","['372', '&nbsp;']","['219', 'i']","['342', 'i']","['88', 'i']","['98', 'i']"
786,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['NA', '&nbsp;']","['NA', '&nbsp;']","['26,187', '&nbsp;']","['28,039', '&nbsp;']","['28,848', '&nbsp;']","['34,023', '&nbsp;']","['36,533', '&nbsp;']","['33,248', '&nbsp;']"
786,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['1,684', '&nbsp;']","['1,523', '&nbsp;']","['1,912', '&nbsp;']","['2,169', '&nbsp;']","['2,729', 'i']","['3,049', '&nbsp;']","['3,768', '&nbsp;']","['3,607', '&nbsp;']"
786,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['6,567', '&nbsp;']","['2,741', '&nbsp;']","['2,753', '&nbsp;']","['5,111', '&nbsp;']","['4,914', '&nbsp;']","['7,156', '&nbsp;']","['9,062', '&nbsp;']","['9,416', '&nbsp;']"
786,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['1,016', '&nbsp;']","['4,850', '&nbsp;']","['5,466', '&nbsp;']","['7,006', '&nbsp;']","['10,190', '&nbsp;']","['12,039', '&nbsp;']","['14,826', '&nbsp;']","['19,144', '&nbsp;']"
786,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,101', '&nbsp;']","['3,447', '&nbsp;']","['3,530', '&nbsp;']","['4,412', '&nbsp;']","['4,122', '&nbsp;']","['5,366', '&nbsp;']"
786,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['330', '&nbsp;']","['343', '&nbsp;']","['363', '&nbsp;']","['191', '&nbsp;']","['262', '&nbsp;']","['301', '&nbsp;']"
786,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['324', '&nbsp;']","['342', '&nbsp;']","['58', 'i']","['55', '&nbsp;']","['68', '&nbsp;']"
786,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['19', '&nbsp;']","['21', 'i']","['133', '&nbsp;']","['207', '&nbsp;']","['233', '&nbsp;']"
786,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['37,954', '&nbsp;']","['42,380', '&nbsp;']","['31,798', '&nbsp;']","['33,307', '&nbsp;']","['34,121', '&nbsp;']","['30,926', '&nbsp;']","['31,461', 'i']","['38,626', '&nbsp;']"
786,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['3,422', '&nbsp;']","['3,258', '&nbsp;']","['4,008', '&nbsp;']","['3,114', '&nbsp;']","['2,483', 'i']","['3,132', '&nbsp;']","['3,309', '&nbsp;']","['4,128', 'i']"
786,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['12,146', '&nbsp;']","['13,351', '&nbsp;']","['10,359', '&nbsp;']","['10,938', '&nbsp;']","['11,006', 'i']","['9,241', 'i']","['11,053', 'i']","['14,333', '&nbsp;']"
786,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['17,913', '&nbsp;']","['16,402', '&nbsp;']","['13,712', '&nbsp;']","['15,713', '&nbsp;']","['16,415', '&nbsp;']","['14,219', '&nbsp;']","['13,324', '&nbsp;']","['16,329', '&nbsp;']"
786,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['NA', '&nbsp;']","['7,809', '&nbsp;']","['5,537', '&nbsp;']","['7,043', '&nbsp;']","['7,387', '&nbsp;']","['4,492', '&nbsp;']","['3,459', '&nbsp;']","['5,693', 'i']"
786,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['NA', '&nbsp;']","['7,916', '&nbsp;']","['7,628', '&nbsp;']","['8,058', '&nbsp;']","['8,431', '&nbsp;']","['8,935', '&nbsp;']","['9,187', '&nbsp;']","['9,931', '&nbsp;']"
786,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['NA', '&nbsp;']","['676', '&nbsp;']","['547', '&nbsp;']","['612', '&nbsp;']","['598', '&nbsp;']","['792', '&nbsp;']","['678', '&nbsp;']","['705', '&nbsp;']"
786,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['4,474', '&nbsp;']","['9,370', '&nbsp;']","['3,720', '&nbsp;']","['3,542', '&nbsp;']","['4,216', '&nbsp;']","['4,334', '&nbsp;']","['3,775', '&nbsp;']","['3,835', '&nbsp;']"
786,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,049', '&nbsp;']","['542', '&nbsp;']","['672', 'i']","['528', 'i']","['501', 'i']","['758', 'i']"
786,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,181', '&nbsp;']","['1,635', '&nbsp;']","['D', '&nbsp;']","['857', 'i']","['930', '&nbsp;']"
786,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['290,680', '&nbsp;']","['282,505', '&nbsp;']","['279,289', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,821', '&nbsp;']"
786,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
