table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
7787,r108,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,4,13469000,16575000,18028000,18098000,19079000,19504000,19051000
7787,r109,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,,,3,7440000,9292000,9764000,10597000,10701000,11452000,11708000
7787,r110,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,,4,1006000,1082000,1110000,1233000,1258000,1413000,1485000
7787,r111,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,"Biological, agricultural, and other life scientists",5,78000,109000,116000,123000,102000,107000,136000
7787,r112,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,Computer and mathematical scientists,5,364000,406000,402000,515000,533000,616000,653000
7787,r113,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,Physical and related scientists,5,66000,67000,62000,61000,75000,77000,77000
7787,r114,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,Social and related scientists,5,181000,190000,215000,191000,203000,209000,230000
7787,r115,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,Engineers,5,317000,310000,315000,343000,345000,405000,390000
7787,r116,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E-related occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E-related occupations,,4,1052000,1492000,1605000,1728000,1820000,1880000,2081000
7787,r117,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,Non-S&E occupations,,4,5382000,6718000,7049000,7635000,7623000,8160000,8142000
7787,r118,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,,,3,920000,1001000,1053000,1105000,1197000,1337000,1371000
7787,r119,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,,4,392000,412000,424000,433000,447000,518000,535000
7787,r120,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",5,99000,109000,105000,110000,112000,127000,152000
7787,r121,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Computer and mathematical scientists,5,50000,53000,53000,49000,62000,75000,75000
7787,r122,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Physical and related scientists,5,63000,68000,68000,64000,61000,70000,72000
7787,r123,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Social and related scientists,5,129000,142000,152000,162000,160000,186000,176000
7787,r124,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Engineers,5,51000,40000,47000,49000,51000,60000,60000
7787,r125,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> S&E-related occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,S&E-related occupations,,4,89000,138000,157000,141000,164000,231000,247000
7787,r126,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Doctorate -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Doctorate,Non-S&E occupations,,4,439000,451000,472000,531000,586000,588000,588000
7787,r127,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,,,3,1920000,2280000,2323000,2431000,2532000,2432000,2722000
7787,r128,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,,4,37000,41000,37000,45000,48000,46000,61000
7787,r129,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,"Biological, agricultural, and other life scientists",5,10000,7000,4000,6000,6000,6000,11000
7787,r130,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,Computer and mathematical scientists,5,10000,5000,7000,12000,8000,9000,17000
7787,r131,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,Physical and related scientists,5,S,,,0.05,2000,2000,1000
7787,r132,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,Social and related scientists,5,14000,28000,23000,23000,30000,28000,30000
7787,r133,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E occupations,Engineers,5,2000,,2000,4000,S,3000,S
7787,r134,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> S&E-related occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,S&E-related occupations,,4,815000,922000,978000,1076000,1088000,1082000,1214000
7787,r135,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Professional -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Professional,Non-S&E occupations,,4,1068000,1317000,1309000,1310000,1396000,1304000,1447000
